product_id,product_title,field,old_value,new_value,change_type,change_amount
100003395735,卫龙魔芋爽 辣条面筋 海带零食大礼包1.276kg休闲年货节 零食礼盒,current_price,49.9,50.9,up,1.0
100003395735,卫龙魔芋爽 辣条面筋 海带零食大礼包1.276kg休闲年货节 零食礼盒,sales_text_raw,1000000,100万+,updated,
10092494354378,良品铺子坚果零食礼盒组合端午礼盒过年送礼零食大礼包高端礼走亲戚送长辈 【店铺热销爆款】年年有余礼2045g/15袋 -,sales_text_raw,1000000,100万+,updated,
100185244081,周黑鸭大家冲鸭礼盒1081g 甜辣鸭脖鸭头鸭腿鸭掌 纯肉礼盒伴手礼,current_price,85.6,82.6,down,-3.0
100185244081,周黑鸭大家冲鸭礼盒1081g 甜辣鸭脖鸭头鸭腿鸭掌 纯肉礼盒伴手礼,sales_text_raw,1000000,100万+,updated,
100070414950,周黑鸭好多鸭舌卤味礼盒520g 经典甜辣味 武汉特产 纯肉礼盒伴手礼,sales_text_raw,1000000,100万+,updated,
100256729280,三只松鼠辣卤畅爽礼200包 零食大礼包团购解馋豆干魔芋多肉送礼1545g,sales_text_raw,1000000,100万+,updated,
100276331110,奥利奥七重口味礼盒35包679g 休闲零食大礼包 早餐解馋小零食,sales_text_raw,1000000,100万+,updated,
100071458877,三只松鼠超大箱巨型零食大礼包4204g超8斤 坚果肉果干520送女友团购送礼,current_price,227.9,228.0,up,0.09999999999999432
100071458877,三只松鼠超大箱巨型零食大礼包4204g超8斤 坚果肉果干520送女友团购送礼,sales_text_raw,700000,70万+,updated,
100000331609,卡乐比（Calbee）薯片 蜂蜜黄油味 韩国进口 办公室解馋小吃休闲零食60g,current_price,16.8,12.8,down,-4.0
100000331609,卡乐比（Calbee）薯片 蜂蜜黄油味 韩国进口 办公室解馋小吃休闲零食60g,sales_text_raw,400000,40万+,updated,
100059450053,卡乐比（Calbee）蜂蜜黄油味+奶酪味薯片60g*4 韩国进口 办公室休闲解馋小吃零食,current_price,54.9,47.41,down,-7.490000000000002
100059450053,卡乐比（Calbee）蜂蜜黄油味+奶酪味薯片60g*4 韩国进口 办公室休闲解馋小吃零食,sales_text_raw,400000,40万+,updated,
10071774442984,盐津铺子 零食大礼包肉类辣卤类办公休闲零食麻辣条鱼豆腐豆干礼包礼盒 【90包】辣卤礼盒约960g,current_price,39.9,29.9,down,-10.0
10071774442984,盐津铺子 零食大礼包肉类辣卤类办公休闲零食麻辣条鱼豆腐豆干礼包礼盒 【90包】辣卤礼盒约960g,sales_text_raw,300000,30万+,updated,
100129095177,来伊份心想事成零食大礼包1189g牛肉干果零食礼盒生日520礼物礼品送礼,current_price,69.9,59.9,down,-10.000000000000007
100129095177,来伊份心想事成零食大礼包1189g牛肉干果零食礼盒生日520礼物礼品送礼,sales_text_raw,100000,10万+,updated,
100033019530,卡乐比（Calbee）薯片烧烤味60g/袋 原切薯条薯片 办公室膨化食品解馋小吃休闲零食,current_price,9.9,5.9,down,-4.0
100033019530,卡乐比（Calbee）薯片烧烤味60g/袋 原切薯条薯片 办公室膨化食品解馋小吃休闲零食,sales_text_raw,90000,9万+,updated,
10127868109314,三只松鼠坚果年货礼盒零食大礼包送礼长辈高档整箱佳品正品团购员工福利 【高性价比】三只松鼠12款坚果(坚果盛宴礼盒),current_price,59.8,39.8,down,-20.0
10127868109314,三只松鼠坚果年货礼盒零食大礼包送礼长辈高档整箱佳品正品团购员工福利 【高性价比】三只松鼠12款坚果(坚果盛宴礼盒),sales_text_raw,70000,7万+,updated,
10118466565865,三只松鼠零食大礼包520情人节整箱送男女儿童生日坚果肉干肉脯网红61礼物 166巨型礼包-所愿皆成升级礼盒,current_price,178.0,158.0,down,-20.0
10118466565865,三只松鼠零食大礼包520情人节整箱送男女儿童生日坚果肉干肉脯网红61礼物 166巨型礼包-所愿皆成升级礼盒,sales_text_raw,40000,4万+,updated,
10183675564591,卫龙辣条组合魔芋爽素毛肚海带大面筋休闲零食组合大礼包办公室 【实惠】爆款组合|约100包|1090g,current_price,35.9,33.9,down,-2.0
10183675564591,卫龙辣条组合魔芋爽素毛肚海带大面筋休闲零食组合大礼包办公室 【实惠】爆款组合|约100包|1090g,sales_text_raw,20000,2万+,updated,
100344225106,煌上煌（DELIS）炫肉食光大礼包455g 肉食大礼包 卤味零食组合 老少皆宜 追剧啃骨,current_price,79.8,76.8,down,-3.0
100344225106,煌上煌（DELIS）炫肉食光大礼包455g 肉食大礼包 卤味零食组合 老少皆宜 追剧啃骨,sales_text_raw,400,400+,updated,
10195255480760,三只松鼠【全新升级到手80包】三只松鼠辣卤礼包解馋零食539g荤素搭配dy-1 539g(【80包】全新升级辣卤零食大礼包),sales_text_raw,100,100+,updated,
10214920377663,良品铺子零食大礼包520礼物整箱高端礼盒生日礼品网红小吃休闲食品送女友 【店长推荐】90%选择坚果肉食果干全都有,current_price,69.9,59.9,down,-10.000000000000007
10214920377663,良品铺子零食大礼包520礼物整箱高端礼盒生日礼品网红小吃休闲食品送女友 【店长推荐】90%选择坚果肉食果干全都有,sales_text_raw,100,100+,updated,
10216392009838,费列罗巧克力礼盒装送礼男女朋友闺蜜孩子中高考试零食金榜题名生日礼物 FERRERO费列罗18颗【高贵金色】,current_price,69.0,52.6,down,-16.4
10216488300658,费列罗巧克力花束礼盒装送礼男女朋友闺蜜孩子中高考零食生日情人节礼物 FERRERO蓝色19巧+5花【金榜题名】,current_price,138.0,114.0,down,-24.0
10216392009837,费列罗巧克力礼盒装送礼男女朋友闺蜜孩子中高考试零食金榜题名生日礼物 FERRERO前程似锦【2026加油宝贝】,current_price,69.0,52.6,down,-16.4
10213420277001,山姆掌勺贵州云南特产麻辣土豆片农科院土豆丝薯片整箱批发小零食批发 香辣味【农科院研发】土豆片3大袋,current_price,38.54,28.83,down,-9.71
100030288523,来伊份贩卖机零食大礼包100袋/2630g 卤味解馋零食礼盒生日520礼物送礼,current_price,108.9,94.01,down,-14.89
100030288523,来伊份贩卖机零食大礼包100袋/2630g 卤味解馋零食礼盒生日520礼物送礼,sales_text_raw,100000,10万+人买过|15日售出超1000件,updated,
10213397267004,良品铺子坚果零食大礼包送男女友混合干果组合礼盒休闲食品小吃儿童健康 26款豪华坚果大礼包【诸事顺利礼盒】含开心果,current_price,179.0,159.0,down,-20.0
10213397267004,良品铺子坚果零食大礼包送男女友混合干果组合礼盒休闲食品小吃儿童健康 26款豪华坚果大礼包【诸事顺利礼盒】含开心果,sales_text_raw,300,当季新品|新品热卖好物,updated,
8321142,三只松鼠巨型零食大礼包30袋3146g 超6斤礼物520送对象肉蜜饯坚果团购,sales_text_raw,6000000,1.5万+回头客|近期回购3000+件,updated,
65111923973,张飞牛肉干端午节零食礼盒四川成都特产牛肉礼盒送礼伴手礼年货礼盒 浓情厚礼礼盒1070g,current_price,138.0,117.0,down,-21.0
65111923973,张飞牛肉干端午节零食礼盒四川成都特产牛肉礼盒送礼伴手礼年货礼盒 浓情厚礼礼盒1070g,sales_text_raw,50000,500+回头客|近期回购200+件,updated,
